medium,frequency_hz,amplitude_v,phase_deg,x_v,y_v,chunk_timestamp,medium,frequency_hz,phase_deg,chunk_timestamp
AIR,247073.5367686672,5.6541e-05,0.166128,5.57162e-05,9.34892e-06,650694397781,AIR,247073.5367686672,0.166128,650694397781
AIR,248124.0620312874,5.65143e-05,0.186347,5.5496e-05,1.04878e-05,650694397781,AIR,248124.0620312874,0.186347,650694397781
AIR,249174.5872939077,5.7079e-05,0.161152,5.62999e-05,9.16045e-06,650694397781,AIR,249174.5872939077,0.161152,650694397781
AIR,250225.112556528,5.70574e-05,0.156355,5.63169e-05,8.85657e-06,650694397781,AIR,250225.112556528,0.156355,650694397781
AIR,251275.6378191483,5.74588e-05,0.160724,5.66852e-05,9.1915e-06,650694397781,AIR,251275.6378191483,0.160724,650694397781
AIR,252326.1630817686,5.72015e-05,0.171105,5.63308e-05,9.75097e-06,650694397781,AIR,252326.1630817686,0.171105,650694397781
AIR,253376.6883443889,5.73141e-05,0.157095,5.65823e-05,8.96162e-06,650694397781,AIR,253376.6883443889,0.157095,650694397781
AIR,254427.2136070092,5.77296e-05,0.147259,5.70647e-05,8.47218e-06,650694397781,AIR,254427.2136070092,0.147259,650694397781
AIR,255477.7388696294,5.71916e-05,0.162491,5.63883e-05,9.28356e-06,650694397781,AIR,255477.7388696294,0.162491,650694397781
AIR,256528.2641322497,5.56628e-05,0.173581,5.47825e-05,9.61244e-06,650694397781,AIR,256528.2641322497,0.173581,650694397781
AIR,257578.78939487,5.7702e-05,0.147856,5.70434e-05,8.49016e-06,650694397781,AIR,257578.78939487,0.147856,650694397781
AIR,258629.3146574903,5.72697e-05,0.165825,5.64655e-05,9.42711e-06,650694397781,AIR,258629.3146574903,0.165825,650694397781
AIR,259679.8399201106,5.7253e-05,0.1794,5.63084e-05,1.0222e-05,650694397781,AIR,259679.8399201106,0.1794,650694397781
AIR,260730.3651827309,5.6993e-05,0.152934,5.62895e-05,8.67814e-06,650694397781,AIR,260730.3651827309,0.152934,650694397781
AIR,261780.8904453511,5.75136e-05,0.159221,5.6739e-05,9.13149e-06,650694397781,AIR,261780.8904453511,0.159221,650694397781
AIR,262831.4157079714,5.68698e-05,0.175163,5.59801e-05,9.91281e-06,650694397781,AIR,262831.4157079714,0.175163,650694397781
AIR,263881.9409705917,5.75066e-05,0.165531,5.66794e-05,9.47249e-06,650694397781,AIR,263881.9409705917,0.165531,650694397781
AIR,264932.466233212,5.66596e-05,0.155743,5.59407e-05,8.8214e-06,650694397781,AIR,264932.466233212,0.155743,650694397781
AIR,265982.9914958323,5.67973e-05,0.146775,5.61694e-05,8.29655e-06,650694397781,AIR,265982.9914958323,0.146775,650694397781
AIR,267033.5167584526,5.68345e-05,0.16277,5.6061e-05,9.20114e-06,650694397781,AIR,267033.5167584526,0.16277,650694397781
AIR,268084.0420210728,5.73557e-05,0.150063,5.66747e-05,8.57319e-06,650694397781,AIR,268084.0420210728,0.150063,650694397781
AIR,269134.5672836931,5.6765e-05,0.150641,5.6102e-05,8.50527e-06,650694397781,AIR,269134.5672836931,0.150641,650694397781
AIR,270185.0925463134,5.77761e-05,0.155468,5.70558e-05,8.93101e-06,650694397781,AIR,270185.0925463134,0.155468,650694397781
AIR,271235.6178089337,5.71563e-05,0.14316,5.65195e-05,8.14056e-06,650694397781,AIR,271235.6178089337,0.14316,650694397781
AIR,272286.143071554,5.7407e-05,0.157408,5.66667e-05,8.99574e-06,650694397781,AIR,272286.143071554,0.157408,650694397781
AIR,273336.6683341743,5.84026e-05,0.165419,5.75727e-05,9.62255e-06,650694397781,AIR,273336.6683341743,0.165419,650694397781
AIR,274387.1935967945,5.67829e-05,0.147588,5.61334e-05,8.34186e-06,650694397781,AIR,274387.1935967945,0.147588,650694397781
AIR,275437.7188594148,5.77296e-05,0.151536,5.70481e-05,8.70841e-06,650694397781,AIR,275437.7188594148,0.151536,650694397781
AIR,276488.2441220351,5.7448e-05,0.142698,5.68324e-05,8.18182e-06,650694397781,AIR,276488.2441220351,0.142698,650694397781
